citation_key,used_in_manuscript,bibliographic_status,doi_or_url_status,supports_claim,support_strength,risk,action_required
demand2018,yes,metadata_warning_year_license_note,DOI verified on Zenodo/DataCite; DOI 10.5281/zenodo.1227121 resolves; source page published 2013 while BibTeX year is 2018; Zenodo page also shows BY-SA 3.0 text and CC BY 4.0 rights metadata,yes,verified_strong,medium,"Before submission, correct/clarify dataset year/version and license wording; supports DEMAND simulated-noise source, not real-farm validation."
sow_call_dataset_2021,yes,metadata_warning_missing_author_year,DOI verified on figshare/DataCite; DOI 10.6084/m9.figshare.16940389 resolves; landing page version 2 is posted 2022 and authored by Jie Liao; BibTeX has no author and year 2021,yes,verified_strong,medium,Update BibTeX metadata if final reference list is edited: add author Jie Liao and clarify version/year 2021 v1 versus 2022 v2.
smartfarmkorea_pig_cough_voice,yes,official_dataset_url_verified_no_doi,"Official data.go.kr page verified; no DOI; page identifies Ministry of Agriculture Food and Rural Affairs provider, WAV pig-cough dataset, dry/abdominal keywords, free use and no usage-permission restriction",yes,verified_strong,medium,"Keep as official URL citation; before journal submission, retain restricted/raw-audio wording and check provider-side ethics/redistribution terms."
snell2017prototypical,yes,verified_url_metadata,"arXiv stable page verified; title/authors/year align; no publisher DOI in BibTeX, arXiv DOI is available",yes,verified_method,low,Supports prototype/class-centre concept only; do not use as evidence for this project numeric gains.
fdshifts_riskcoverage,no,verified_stable_code_url,GitHub source URL is stable enough for implementation provenance; not currently cited in polished manuscript,not_currently_cited,metadata_only,low,"Remove from final .bib if unused, or cite only if manuscript explicitly discusses fd-shifts implementation."
choi2017crnn,yes,metadata_incomplete_but_verified,"arXiv page verifies title/authors and CRNN method; Crossref verifies IEEE ICASSP DOI 10.1109/ICASSP.2017.7952585 and pages 2392-2396, which are absent from current BibTeX",yes,verified_method,low,"Recommended BibTeX metadata update: add DOI/pages or use arXiv DOI; supports CRNN background, not pig-specific evidence."
geifman2017selective,yes,verified_url_metadata,arXiv stable page verified; title/authors/year align; no DOI in BibTeX other than available arXiv DOI,yes,verified_method,low,Supports selective classification/risk-coverage framing; does not support prototype performance claims.
mcfee2015librosa,yes,verified_stable_url,SciPy proceedings URL verifies librosa paper metadata; no DOI in BibTeX,yes,verified_method,low,Supports use of standard audio-analysis tooling/features; not pig-specific evidence.
briefer2022pigcalls,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume, article number and DOI",yes,verified_strong,low,"Strong pig-call valence/context background; use as field background, not for internal metrics."
tallet2013piglets,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, article number and DOI",yes,verified_strong,low,Strong piglet vocal repertoire/context support.
illmann2013signalneed,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, article number and DOI",yes,verified_strong,low,Strong piglet need/isolation/crushing-call support.
weary1995calling,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",yes,verified_strong,low,Strong piglet need-call background.
manteuffel2004vocalization,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",not_currently_cited,verified_background,low,Useful welfare-vocalisation background if reintroduced; otherwise optional unused BibTeX entry.
ferrari2008cough,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",yes,verified_strong,low,Strong pig respiratory/cough-sound background; not evidence for this paper results.
exadaktylos2008cough,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",yes,verified_strong,low,Strong sick-pig cough recognition background.
yin2021pigcoughcnn,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",yes,verified_strong,low,Strong pig cough CNN/field-situation background.
shen2022pigcoughfusion,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume, article number and DOI",yes,verified_strong,low,Strong pig cough acoustic/deep feature background; not evidence for current ablation numbers.
xie2024abnormalpig,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, article number and DOI",yes,verified_strong,low,Strong recent abnormal pig-vocalisation/smart-farm background.
chung2025pvmc,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, article number and DOI",yes,verified_strong,low,Strong recent noisy farm-environment pig-vocalisation background; do not imply this paper used real-farm external validation.
mcloughlin2019automated,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, article number and DOI",not_currently_cited,verified_background,low,General automated-bioacoustics/welfare background if needed; currently unused.
coutant2024scoping,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume, article number and DOI",not_currently_cited,verified_background,low,Review-level farm-animal welfare background only; avoid using for specific experimental claims.
stowell2022computational,no,verified_crossref_metadata,"Crossref/DOI metadata match title, author, year, journal, volume, article number and DOI",not_currently_cited,verified_background,low,General deep-learning bioacoustics review; currently unused.
acevedo2009animalcalls,yes,verified_crossref_metadata_species_note,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",yes,verified_background,medium,"Different species only (bird/amphibian); acceptable for broad animal-audio method background, not pig-specific evidence."
huang2014anuran,yes,verified_crossref_metadata_species_note,"Crossref/DOI metadata match title, authors, year, journal, volume, pages and DOI",yes,verified_background,medium,"Different species only (anuran); acceptable for broad animal-audio feature background, not pig-specific evidence."
kahl2021birdnet,yes,verified_crossref_metadata_species_note,"Crossref/DOI metadata match title, authors, year, journal, volume, article number and DOI",yes,verified_background,medium,"Different species only (birds); acceptable for broad bioacoustic deep-learning background, not pig-specific evidence."
cakir2017crnn_sed,yes,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",yes,verified_method,low,Strong CRNN sound-event method citation; not pig-specific evidence.
hershey2017cnn_audio,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, ICASSP venue, pages and DOI",not_currently_cited,verified_method,low,General large-scale audio-classification method background if needed; currently unused.
gemmeke2017audioset,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, ICASSP venue, pages and DOI",not_currently_cited,verified_method,low,Audio ontology/human-labelled dataset background if hierarchy discussion is expanded; currently unused.
lostanlen2019pcen,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",not_currently_cited,verified_method,low,PCEN method background for ablation discussion if reintroduced; currently unused.
park2019specaugment,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, Interspeech venue, pages and DOI",not_currently_cited,verified_method,low,SpecAugment method background for ablation discussion if reintroduced; currently unused.
silla2011hierarchical,no,verified_crossref_metadata,"Crossref/DOI metadata match title, authors, year, journal, volume/issue, pages and DOI",not_currently_cited,verified_method,low,General hierarchical-classification survey; do not use as evidence for pig-specific hierarchical gain.
heinrich2025audioprotopnet,no,verified_crossref_metadata_species_note,"Crossref/DOI metadata match title, authors, year, journal, volume, article number and DOI",not_currently_cited,verified_method,medium,Different species only (bird); useful only as analogical audio-prototype interpretability background.
