"claim_id","section","claim_text","required_support_type","current_citation","missing_citation","candidate_search_query","recommended_citations","support_strength","audit_note"
"C001","Abstract/Introduction","Automatic pig vocalization recognition is a practical sensing problem for livestock monitoring.","field background","none","no","pig vocalization recognition livestock monitoring welfare bioacoustics","@briefer2022pigcalls; @mcloughlin2019automated; @coutant2024scoping","background support","Use as field framing only; do not imply this paper performs real-farm deployment."
"C002","Introduction","Pig calls can encode context, emotional valence, need, isolation or stress-related situations.","external primary","none","no","pig calls emotional valence context production classification","@briefer2022pigcalls; @tallet2013piglets; @illmann2013signalneed; @weary1995calling","strong support","Briefer directly classifies pig calls by valence and production context; Tallet/Illmann/Weary provide piglet context/need evidence."
"C003","Introduction","Pig vocal events may contain onset transients, sustained acoustic texture and short temporal context, so event-window length can matter.","mixed external background plus internal result","none","partial","pig vocalization temporal structure acoustic context event duration classification","@briefer2022pigcalls; @tallet2013piglets","partial support","External literature supports contextual pig-call structure, but the specific 2 s design is supported by this project's duration ablation, not by a direct external pig-duration rule."
"C004","Introduction/Results Story 1","The 2 s Log-Mel CRNN significantly outperformed the 1 s Log-Mel baseline in the locked closed-set protocol.","internal result","none","no","2 second pig vocalization classification Log-Mel CRNN duration comparison","internal: paper/tables/table3_duration_comparison.csv; internal: tools/paired_cv5_cap3x_logmel_dur2_vs_dur1.py","strong support","This is an internal experimental claim; cite the project table/statistical script or table in the paper, not external literature."
"C005","Introduction/Results Story 1","The available 3 s comparison did not surpass the 2 s mean, but does not prove longer windows can never help.","internal result with boundary statement","none","no","pig vocalization window length 3 s 2 s classification","internal: paper/tables/table3_duration_comparison.csv","strong support","Keep wording bounded because the 3 s row has fewer runs than the 1 s/2 s paired comparison."
"C006","Introduction/Results Story 1","MCTAFD, PCEN, spectral-gate denoising, SpecAugment and attention pooling did not provide a more stable clean mainline than 2 s Log-Mel CRNN in this package.","internal result plus method background","none","partial","PCEN SpecAugment audio classification ablation pig sound","@lostanlen2019pcen; @park2019specaugment; internal: paper/tables/table2_clean_baseline_and_architecture_ablations.csv","strong internal plus background external","External citations only define PCEN/SpecAugment; performance comparison is internal."
"C007","Task definition","The task uses four deployment-facing pig vocalization classes and six auxiliary subtypes for hierarchical supervision.","dataset/protocol definition","none","no","pig vocalization classes cough grunt feeding stress subtype classification","internal: paper/tables/table1_dataset_and_leakage_free_protocol.csv; internal: data/manifests_pigvocal_4class_expanded_train_cv5_cap3x","strong support","This is a project label-design claim; external pig-call papers can motivate context but cannot validate the exact label taxonomy."
"C008","Related Work","Prior pig-vocalization and livestock acoustic monitoring work exists and should not be ignored.","field background and external systems","none","no","pig vocalization classification livestock acoustic monitoring prior work","@briefer2022pigcalls; @ferrari2008cough; @exadaktylos2008cough; @yin2021pigcoughcnn; @shen2022pigcoughfusion; @xie2024abnormalpig; @chung2025pvmc","strong support","Use these domain references for the related-work background statement."
"C009","Related Work/Results","Pig cough sounds can be used for respiratory-disease or sick-cough detection.","external primary","none","no","pig cough sound analysis respiratory infection detection machine learning","@ferrari2008cough; @exadaktylos2008cough; @yin2021pigcoughcnn; @shen2022pigcoughfusion","strong support","Use Ferrari/Exadaktylos/Yin/Shen for cough-detection context, not for this paper's four-class Macro-F1 values."
"C010","Introduction/Discussion","Farm or environmental noise complicates animal-acoustic monitoring and motivates robustness testing.","field background","none","no","pig vocalization classification noisy animal farm environments","@chung2025pvmc; @xie2024abnormalpig; @mcloughlin2019automated; @stowell2022computational","partial support","Chung 2025 is most directly aligned with noisy pig vocalization classification; broader bioacoustic papers are background."
"C011","Related Work","CRNNs are established audio-classification/sound-event models because CNN layers capture local time-frequency patterns and recurrent layers summarize temporal dependencies.","method background","@choi2017crnn","no","convolutional recurrent neural networks audio classification sound event detection","@choi2017crnn; @cakir2017crnn_sed","strong support","Cakir is a stronger sound-event-detection complement to the existing music-classification CRNN citation."
"C012","Related Work/Methods","Log-Mel and related time-frequency/audio features are standard inputs for audio and animal-sound classification.","method background","@mcfee2015librosa","partial","Log-Mel MFCC animal sound classification machine learning","@mcfee2015librosa; @acevedo2009animalcalls; @huang2014anuran; @kahl2021birdnet; @hershey2017cnn_audio","background support","External sources support broad audio/bioacoustic classification; exact Log-Mel setup and parameters remain internal method choices."
"C013","Related Work/Methods","Audio classification can use large sound-event ontologies and hierarchical labels.","method background","none","no","hierarchical sound event ontology audio classification AudioSet","@gemmeke2017audioset; @silla2011hierarchical","background support","Use as analogy for hierarchical sound labels, not as proof that this pig subtype hierarchy is optimal."
"C014","Related Work/Methods","Hierarchical auxiliary supervision can be framed as preserving subtype-level semantic structure without replacing the main task.","method background plus internal result","none","partial","hierarchical classification auxiliary labels sound classification subtypes","@silla2011hierarchical; @gemmeke2017audioset; internal: paper/tables/table4_hierarchical_aux_weight_ablation.csv","partial support","The external literature supports hierarchical classification broadly; the specific auxiliary-loss effect is internal only."
"C015","Results Story 2","Hierarchical auxiliary supervision increases the clean mean but does not significantly outperform the 2 s baseline.","internal result","none","no","hierarchical auxiliary supervision pig vocalization Macro-F1 paired Wilcoxon","internal: paper/tables/table4_hierarchical_aux_weight_ablation.csv; internal: tools/paired_cv5_cap3x_hier_vs_dur2_by_weight.py","strong support","Do not cite hierarchical-classification surveys as evidence for the nonsignificant result; it is entirely internal."
"C016","Related Work/Methods","Prototype-based inference relates to prototypical networks and class centers in embedding space.","method background","@snell2017prototypical","no","prototypical networks class centers embedding space few shot learning","@snell2017prototypical","strong support","Keep the wording clear that this paper uses post-hoc prototypes rather than claiming a new trainable prototype architecture."
"C017","Methods/Discussion","Post-hoc prototypes are fold-seed-specific artifacts built from train embeddings and calibrated on validation data only.","protocol/leakage control","@snell2017prototypical","no","post hoc prototypes train embeddings validation calibration test evaluation leakage","internal: prototype artifact scripts and leakage audits; @snell2017prototypical","strong internal plus background external","Snell supports the class-center concept only; leakage-free construction is a project protocol claim."
"C018","Discussion","Subtype/hierarchical prototypes can support clean semantic explanation, but should not be promoted as universally robust.","method background plus internal result","none","partial","interpretable prototype networks audio bioacoustic classification","@heinrich2025audioprotopnet; @silla2011hierarchical; internal: paper/tables/table5_clean_softmax_main_prototype_hierarchical_prototype.csv; internal: paper/tables/table7_paired_statistics.csv","partial support","AudioProtoPNet supports bioacoustic prototype interpretability in birds; pig-specific prototype interpretability remains internal/analogical."
"C019","Methods","DEMAND provides public environmental noise recordings used for simulated additive-noise experiments.","official dataset","@demand2018","no","DEMAND database multi-channel recordings acoustic noise diverse environments Zenodo","@demand2018","strong support","Dataset citation is sufficient for the source of noise recordings."
"C020","Methods/Limitations","DEMAND mixing in this paper is simulated additive noise and must not be described as real-farm external validation.","boundary/protocol definition","@demand2018","no","DEMAND environmental noise simulated additive noise real farm validation boundary","@demand2018; internal: docs/NOISE_ROBUSTNESS_PROTOCOL.md; internal: docs/NOISE_SOURCE_DECISION.md","strong support","DEMAND supports the environmental-recording source; the simulated-vs-field boundary is established by the paper protocol."
"C021","Methods","The noisy evaluation is zero-shot and frozen: clean checkpoint, train-only prototypes, validation-only calibration, test only for evaluation.","protocol/leakage control","none","no","zero-shot noisy evaluation train validation test calibration leakage audio classification","internal: docs/NOISE_ROBUSTNESS_PROTOCOL.md; internal: prototype leakage audits","strong support","No external citation needed; this is a reproducibility and leakage-control statement."
"C022","Experimental Protocol","Fold-seed pairing, exact-path/source_id/MD5 disjointness and SHA provenance are enforced.","protocol/leakage control","none","no","cross validation leakage source disjointness MD5 audio classification protocol","internal: paper/tables/table1_dataset_and_leakage_free_protocol.csv; internal: paper_results/manifests","strong support","This is an internal provenance claim; keep it tied to manifests and leakage audits."
"C023","Results Story 3","Main-class prototypes provide a modest but statistically supported ALL_NOISY Macro-F1 gain over raw Softmax under simulated DEMAND noise.","internal result","none","no","prototype inference simulated additive noise Macro-F1 Wilcoxon pig vocalization","internal: paper/tables/table6_simulated_noise_robustness_by_stratum.csv; internal: paper/tables/table7_paired_statistics.csv","strong support","External prototype papers motivate the mechanism but do not support this numeric result."
"C024","Results Story 3","Hierarchical prototype is weaker than main prototype under simulated noise.","internal result","none","no","hierarchical prototype main prototype noisy pig vocalization paired Wilcoxon","internal: paper/tables/table7_paired_statistics.csv","strong support","Do not generalize this beyond the DEMAND simulated-noise protocol."
"C025","Results Story 3","Cough recognition under 0 dB active-event SNR is unreliable in this result package.","internal result plus boundary statement","none","no","pig cough detection severe noise 0 dB active event SNR","internal: paper/appendix/noise_25_run_per_class_summary.csv; internal: paper/tables/table8_per_class_noise_results_and_confusion_directions.csv; @ferrari2008cough; @yin2021pigcoughcnn","strong internal plus background external","External cough papers support the importance of cough detection but not the 0 dB failure result."
"C026","Related Work/Results","Selective prediction and risk-coverage analysis evaluate whether confidence or distance scores identify unreliable predictions.","method background","@geifman2017selective; @fdshifts_riskcoverage","no","selective classification risk coverage deep neural networks","@geifman2017selective; @fdshifts_riskcoverage","strong support","Existing citations are adequate for the conceptual and implementation basis."
"C027","Results/Discussion","Prototypes do not comprehensively improve uncertainty or risk-coverage ranking in the locked results.","internal result","@geifman2017selective; @fdshifts_riskcoverage","no","prototype inference uncertainty risk coverage AURC AUGRC audio classification","internal: paper/tables/table9_selective_prediction_metrics_corrected_augrc.csv; @geifman2017selective; @fdshifts_riskcoverage","strong support","The negative uncertainty result is internal; selective-prediction citations only define the metrics."
"C028","Data Availability","DEMAND audio should be linked by source URL/checksum/provenance rather than redistributed when license metadata are conflicting.","official dataset plus protocol","@demand2018","partial","DEMAND dataset license Zenodo acoustic noise recordings redistribution","@demand2018; internal: docs/NOISE_SOURCE_DECISION.md","partial support","Dataset page supports provenance; final license wording still needs author/legal confirmation."
"C029","Code Availability","The public repository URL, release tag or archived DOI must be added before submission if code availability is claimed.","data/code availability statement","none","yes","research code availability statement repository release DOI manuscript","none","missing","No project release tag or archived DOI was provided in the reviewed inputs."
"C030","Ethics Statement","Animal-use approval authority, approval number or exemption statement for the original pig recordings remains missing.","ethics/data provenance","none","yes","animal ethics approval pig vocalization recordings manuscript data collection","none","missing","This requires author/source-data information, not literature substitution."
"C031","Limitations","The paper has no real-farm external validation and should not claim deployment-ready robustness.","boundary/protocol definition","none","no","real farm external validation pig sound recognition simulated noise limitation","@chung2025pvmc; internal: paper/tables/table1_dataset_and_leakage_free_protocol.csv; internal: docs/NOISE_ROBUSTNESS_PROTOCOL.md","strong support","Chung 2025 supports that noisy farm-environment pig-vocalization work exists; this paper's no-external-validation boundary remains internal."
"C032","Related Work/Limitations","A direct external citation for exactly 2 s pig vocalization windows was not found in this pass.","external primary","none","yes","2 second pig vocalization processing window classification","none","missing","Do not claim that 2 s is literature-standard; present it as this project's empirically validated setting."
