figure,panel,source_csv,source_columns,transformation,filtering,statistic,output_file
Figure 1,a,paper/tables/table1_dataset_and_leakage_free_protocol.csv; paper/manuscript/paper_en_full_story_polished.md,item; value; Methods/Data-source text,Conceptual left-to-right reuse and 2 s preprocessing schematic; no experimental values,Public/third-party source statement; clean classes; clean backbone protocol,Not applicable,paper/figures_journal/figure1_overall_framework.svg
Figure 1,b,paper/tables/table1_dataset_and_leakage_free_protocol.csv; tools/prototype_model_adapter.py,item; value; DEFAULT_AUX_TO_MAIN,Map four main labels to six auxiliary subtypes and depict parallel training heads,Clean classes; auxiliary subtypes,Not applicable,paper/figures_journal/figure1_overall_framework.svg
Figure 1,c,paper/tables/table1_dataset_and_leakage_free_protocol.csv,item; value,Depict train-only main and subtype prototype construction with validation-only calibration,Prototype protocol,Not applicable,paper/figures_journal/figure1_overall_framework.svg
Figure 1,d,paper/tables/table1_dataset_and_leakage_free_protocol.csv,item; value,Depict frozen clean and DEMAND simulated-additive-noise evaluation as separate evaluation conditions,Noise protocol; external validation,Not applicable,paper/figures_journal/figure1_overall_framework.svg
Figure 2,a,paper/tables/table3_duration_comparison.csv,duration; n; mean_macro_f1; std_macro_f1,"Order 1 s, 2 s, 3 s and plot mean with run-level SD",All duration rows; no pairing of 3 s with 2 s,Mean ± sample SD across fold-seed runs,paper/figures_journal/figure2_duration_clean_ablations.svg
Figure 2,b,paper_results/tables/cv5_cap3x_logmel_dur2_vs_dur1_paired_stats.csv,n; mean_delta; ci95_low; ci95_high; wilcoxon_p,Plot matched 2 s minus 1 s mean delta and saved percentile-bootstrap CI,Exact fold-seed matched pairs,"10,000-resample paired-delta bootstrap CI; two-sided Wilcoxon",paper/figures_journal/figure2_duration_clean_ablations.svg
Figure 2,c,paper/tables/table2_clean_baseline_and_architecture_ablations.csv,model; protocol; n; mean_macro_f1; std_macro_f1,Select locked 2 s Log-Mel and five clean alternatives; plot mean with run-level SD,"cap3x rows: logmel_dur2, mctafd_no_se_gated, logmel_pcen, logmel_sg, logmel_specaug, logmel_dur2_attn",Descriptive mean ± sample SD; unmatched n explicitly labelled,paper/figures_journal/figure2_duration_clean_ablations.svg
Figure 3,a,paper/tables/table1_dataset_and_leakage_free_protocol.csv; tools/prototype_model_adapter.py,item; value; DEFAULT_AUX_TO_MAIN,Draw explicit subtype-to-main hierarchy,Four main classes and six auxiliary subtypes,Not applicable,paper/figures_journal/figure3_hierarchical_clean_prototypes.svg
Figure 3,b,paper/tables/table4_hierarchical_aux_weight_ablation.csv; paper_results/tables/cv5_cap3x_hier_w02_vs_dur2_paired_stats.csv; paper_results/tables/cv5_cap3x_hier_w05_vs_dur2_paired_stats.csv; paper_results/tables/cv5_cap3x_hier_w10_vs_dur2_paired_stats.csv,model; n; mean_macro_f1; std_macro_f1; ci95_low; ci95_high; wilcoxon_p,"Order lambda 0.2, 0.5, 1.0; plot mean ± SD and exact paired P values vs non-hierarchical 2 s baseline",All three locked weights; exact 25 matched pairs,Mean ± sample SD; two-sided Wilcoxon; paired-delta bootstrap CI in source,paper/figures_journal/figure3_hierarchical_clean_prototypes.svg
Figure 3,c,paper/tables/table5_clean_softmax_main_prototype_hierarchical_prototype.csv; paper/appendix/clean_25_run_prototype_paired_stats.csv; reports/prototype_noise_demand_w05_final/final_runs.csv,method; n; mean_macro_f1; std_macro_f1; comparison; mean_delta; bootstrap_ci95_low; bootstrap_ci95_high; wilcoxon_p; fold; seed; lambda,"Select raw, main prototype, hierarchical prototype from the same lambda=0.5 checkpoint cohort","method in raw_softmax, prototype, hierarchical; final_runs has 25 unique fold-seed rows and lambda=0.5",Mean ± sample SD; paired bootstrap CI and two-sided Wilcoxon in source,paper/figures_journal/figure3_hierarchical_clean_prototypes.svg
Figure 4,a,paper/tables/table6_simulated_noise_robustness_by_stratum.csv,noise_environment; method; n; mean_macro_f1; std_macro_f1,"Plot three methods across moderate, extreme and all-noisy strata","method in raw_softmax, prototype, hierarchical",Mean ± sample SD across 25 fold-seed stratum means,paper/figures_journal/figure4_simulated_noise_robustness.svg
Figure 4,b,paper/appendix/noise_25_run_summary.csv,noise_environment; snr_db; method; n; mean_macro_f1; std_macro_f1,"Plot clean/20/10/0 dB mean curves separately for DWASHING, TBUS and STRAFFIC","method in raw_softmax, prototype, hierarchical; one clean row per method plus noise_environment in DWASHING, TBUS, STRAFFIC and snr_db in 20, 10, 0; exclude GROUP aggregate rows",Mean across 25 fold-seed runs; no CI drawn,paper/figures_journal/figure4_simulated_noise_robustness.svg
Figure 4,c,paper/appendix/noise_25_run_paired_stats.csv; paper/appendix/noise_25_run_cluster_bootstrap.csv,noise_environment; comparison; mean_delta; bootstrap_ci95_low; bootstrap_ci95_high; wilcoxon_p; fold_cluster_bootstrap_ci95_low; fold_cluster_bootstrap_ci95_high; wilcoxon_on_5_fold_means_low_power,Align three comparisons by stratum and overlay run-level and fold-cluster intervals,"GROUP rows for ALL_NOISY, MODERATE_NOISE, EXTREME_STRESS",Run-level paired bootstrap and stored unadjusted Wilcoxon P; five-fold cluster bootstrap and stored unadjusted low-power fold-mean Wilcoxon P,paper/figures_journal/figure4_simulated_noise_robustness.svg
Figure 5,a,paper/appendix/noise_25_run_per_class_summary.csv,noise_environment; snr_db; method; class; recall,Plot cough recall from clean through 20/10/0 dB for each DEMAND environment,"class=cough; method in raw_softmax, prototype, hierarchical; one clean row per method plus noise_environment in DWASHING, TBUS, STRAFFIC and snr_db in 20, 10, 0; exclude GROUP aggregate rows",Pooled confusion-derived recall; no inferential test,paper/figures_journal/figure5_failure_selective_prediction.svg
Figure 5,b,paper/tables/table8_per_class_noise_results_and_confusion_directions.csv,method; feeding_to_stress; stress_to_feeding,Plot pooled ALL_NOISY directional error counts,"ALL_NOISY/GROUP; method in raw_softmax, prototype, hierarchical","Pooled decision counts, not independent-event counts",paper/figures_journal/figure5_failure_selective_prediction.svg
Figure 5,c,paper/appendix/noise_25_run_aurc_augrc_summary.csv; paper/appendix/noise_25_run_selective_summary.csv,method; n; mean_aurc; mean_augrc; mean_risk_at_coverage_0_95; mean_frozen_threshold_selective_risk,Join authoritative ALL_NOISY ranking and selective summaries by method,"ALL_NOISY/GROUP; method in raw_softmax, prototype, hierarchical",Descriptive 25-run means; lower is better; no paired inferential test,paper/figures_journal/figure5_failure_selective_prediction.svg
Supplementary Figure S1,a,paper/tables/table2_clean_baseline_and_architecture_ablations.csv,protocol; model; n; mean_macro_f1; std_macro_f1; min_macro_f1; max_macro_f1,Plot all nine locked clean rows with min-max and mean ± SD,No unlocked or archived-only rows added,Descriptive mean ± sample SD and observed min-max,paper/supplementary/figures/figure_s1_clean_ablations.svg
Supplementary Figure S2,a,paper/appendix/noise_25_run_summary.csv,noise_environment; snr_db; method; n; mean_macro_f1; std_macro_f1,Environment-by-SNR curves,"method=raw_softmax; one clean row plus noise_environment in DWASHING, TBUS, STRAFFIC and snr_db in 20, 10, 0; exclude GROUP aggregate rows",Mean ± sample SD across 25 runs,paper/supplementary/figures/figure_s2_demand_environment_snr.svg
Supplementary Figure S2,b,paper/appendix/noise_25_run_summary.csv,noise_environment; snr_db; method; n; mean_macro_f1; std_macro_f1,Environment-by-SNR curves,"method=prototype; one clean row plus noise_environment in DWASHING, TBUS, STRAFFIC and snr_db in 20, 10, 0; exclude GROUP aggregate rows",Mean ± sample SD across 25 runs,paper/supplementary/figures/figure_s2_demand_environment_snr.svg
Supplementary Figure S2,c,paper/appendix/noise_25_run_summary.csv,noise_environment; snr_db; method; n; mean_macro_f1; std_macro_f1,Environment-by-SNR curves,"method=hierarchical; one clean row plus noise_environment in DWASHING, TBUS, STRAFFIC and snr_db in 20, 10, 0; exclude GROUP aggregate rows",Mean ± sample SD across 25 runs,paper/supplementary/figures/figure_s2_demand_environment_snr.svg
Supplementary Figure S2,d,paper/appendix/noise_25_run_summary.csv,noise_environment; snr_db; method; n; mean_macro_f1; std_macro_f1,Environment-by-SNR curves,"method=fused; one clean row plus noise_environment in DWASHING, TBUS, STRAFFIC and snr_db in 20, 10, 0; exclude GROUP aggregate rows",Mean ± sample SD across 25 runs,paper/supplementary/figures/figure_s2_demand_environment_snr.svg
Supplementary Figure S3,a,reports/prototype_noise_demand_w05_final/final_confusion_summary.csv,noise_environment; method; labels; confusion_matrix,Parse and row-normalize four complete ALL_NOISY confusion matrices; encode percentage by bubble area,ALL_NOISY/GROUP; four methods,Pooled counts over 25 fold-seed runs and nine simulated-noise conditions,paper/supplementary/figures/figure_s3_confusion_calibration_fold_deltas.svg
Supplementary Figure S3,b,paper/appendix/clean_calibration_distribution.csv,parameter; value; count; n_runs,Plot complete discrete calibration-selection frequencies,"Discrete parameters: softmax/main/hier temperatures, hierarchy penalty, fusion alpha/kind",Counts across 25 validation-calibrated fold-seed runs,paper/supplementary/figures/figure_s3_confusion_calibration_fold_deltas.svg
Supplementary Figure S3,c,paper/appendix/clean_calibration_distribution.csv,parameter; value; count; n_runs,Expand count-weighted global and per-class frozen thresholds and plot distributions,global and per-class rejection-threshold parameters,Distribution across 25 validation-calibrated fold-seed runs,paper/supplementary/figures/figure_s3_confusion_calibration_fold_deltas.svg
Supplementary Figure S3,d,paper/appendix/noise_25_run_fold_level_deltas.csv,noise_environment; fold; prototype_minus_raw_softmax; hierarchical_minus_raw_softmax; hierarchical_minus_prototype,Plot all five fold means for all three grouped strata and comparisons,"Folds 0-4; ALL_NOISY, MODERATE_NOISE, EXTREME_STRESS",Fold-mean paired deltas; descriptive sensitivity display,paper/supplementary/figures/figure_s3_confusion_calibration_fold_deltas.svg
