figure,panel,claim,evidence_file,evidence_sha256,deployability,transformation,limitation,output_file
Figure 1,a,"The final framework keeps model fitting, validation decisions, and frozen-test evaluation separate.",paper/tables/table1_dataset_and_leakage_free_protocol.csv,816ae354bd5cecd603c804241a5bd2e45e9cf728e24bdd57caf11d09cd37f2af,protocol_only,Render locked train/validation/frozen-test roles and disjointness rules,Does not establish external real-farm validity.,paper/figures_final/figure1_final_framework.svg
Figure 1,b,The validated representation uses a 2-s Log-Mel CRNN with four main and six subtype labels.,paper/tables/table1_dataset_and_leakage_free_protocol.csv,816ae354bd5cecd603c804241a5bd2e45e9cf728e24bdd57caf11d09cd37f2af,protocol_only,Render the validated 2-s Log-Mel CRNN and dual supervision heads,Does not claim a new backbone architecture.,paper/figures_final/figure1_final_framework.svg
Figure 1,c,Class prototypes are built from training embeddings; calibration is validation-only.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/calibration/val_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_main_prototype_samples.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed42/artifacts/train_aux_prototype_samples.csv;paper/tables/table1_dataset_and_leakage_free_protocol.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;47aa838974ecdd84c590cfb34fe96c38eedaa7f0c3a725cc6f0345f0152ad824;c62e54fd1a986a1cb5459dcda0073f97837e1fe6737cf15c64609519d866cdfe;d32cc6dc569ab614db9b69d6bd3486546aa5daa0c1d2016b52ba330f5da0afd7;816ae354bd5cecd603c804241a5bd2e45e9cf728e24bdd57caf11d09cd37f2af,deployable_protocol,Trace train-only prototype construction and validation-only calibration,Does not use test labels to construct or calibrate prototypes.,paper/figures_final/figure1_final_framework.svg
Figure 1,d,B2 validation-selected Raw Softmax is primary; prototype routes are parallel candidates.,paper/final_validation/validation_selected_framework_summary.csv,fff6a4fc6d1320af5a2e295efbc35bdc808f6f2c392e5a81c614d833523e0625,deployable_primary_and_candidate_routes,Separate B2 Raw Softmax primary evidence from parallel prototype candidates and B3 ablation,Does not establish an automatic routing policy.,paper/figures_final/figure1_final_framework.svg
Figure 2,a,Two-second context supplies the major established clean-audio gain.,paper/final_validation/validation_selected_framework_runs.csv;paper/final_validation/validation_selected_framework_summary.csv,a88bc99e07997220ac7a4345309456415201d1689c2a16366d1db82ba0057d9b;fff6a4fc6d1320af5a2e295efbc35bdc808f6f2c392e5a81c614d833523e0625,label_aware_frozen_test_evaluation,Plot run means with sample SD on a complete 0-1 Macro-F1 axis,Does not imply that the B2 or B3 increment is significant.,paper/figures_final/figure2_primary_classification_evidence.svg
Figure 2,b,The B2 and B3 increments are bounded by matched fold-seed and fold-cluster evidence.,paper/final_validation/validation_selected_framework_paired_stats.csv;paper_results/tables/cumulative_framework_paired_stats.csv,df21d73ac310b8104f5fe32c4b1e9e6d0d9b8ee9fa1e6f2f6b5a0a2f2b1103ef;35d6b13f00d4955684e874a41fcb935bab2ff14424e532c7529d8be50a450d4f,label_aware_frozen_test_evaluation,Plot matched mean deltas with deterministic fold-cluster bootstrap intervals,Never call the B2 or B3 increment statistically significant.,paper/figures_final/figure2_primary_classification_evidence.svg
Figure 2,c,Lambda is selected independently within each fold from validation performance.,paper/final_validation/lambda_selection_by_fold.csv,1b8a7d926a6750c9c70c12e51230a1e03ab05ee9a7fbd88a02d6c56dfb124fb8,validation_only_selection,Plot only validation means and fold-wise selected lambdas,Does not use frozen-test performance for selection.,paper/figures_final/figure2_primary_classification_evidence.svg
Figure 3,a,Main and subtype ranking coverage quantifies candidate utility.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed3407/evaluation/test_predictions.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;5ed18c7f42b62940d866abd749c500bc0327e5afc355f4fd6c4c313a95100c77;6870dfd1224c66aa780b978aaefa409b7e2fd7c9b0410c84243d7bfcf7a23b01;edf190b8edf44b96382a3437df6c32d5ad851c41bf45db61b6ba3e416509a5d4;35e28a1e75128dc08afec26220b0c19c3164598c6d7998de680dd43bd46acc89;efb817c1a0701079fff35d77c81f642de8d3d7e0f89a27fd3b71a8142fb48377;1935922b2465e5f12a214232db290e4738620f2d50c0d121d4232785ebdf66f1;cc5f091ae8b3eb79509ac97cf3cd0abb0e905db648809c733225cafd43bb7c5d;9b2be2830eced1d774394f5ab8c573c38f9eccaa9a2159268470071a8eef99b1;3f2272b366c6198398203148776a5300115bbe04bd4356366be1330c28fb98c2;5c60b0c5f5b11578bd07b75d2a70386ab144e6096ad997a00ce3d4692994e9c1;4e9f39954f2a6f2791f1fa966f286d1b93a01bd51a61b3b16995108ae394ac3f;965e4b9f614afde5088fd12cadf797ba972d8c7cc6b522d92212ce8adeb38895;c9a215f332466ffd3ab0ef884286eae299a8bcaf526455eeeb25effcc6124657;ebb1dde761eda53a7a7dd48a3f5c1eb248e114dbe916df15f8bad5c29839229f;65e4550d1efa0bc2a6a5975320f3ed3e191a67450435eee0965a8f9e06f3eec0;f2bec3e706429054f50c3dfd9b8274bd79d8aa5746866d39cb35b986a9bca91d;4666342ba1e84cbe6d8ea5cf163a23eba18fdaf7d34ea2e6dcbcbfc0e1fa7bed;551eef82cb53af5a346060117cb418723e446d1c1128fc7a2fb509fe3c20b4dc;25410a83867675250ac7307cad1713448eabd07b27b89175def5564aa76221f6;cde101ee69714e1dbf21af94ed839b3b03392293893e022ef95e670d23a18b42;8b481820a28ed053d3daeda2a321e3978b94581ffe4fcdf27aace86a07862559;c3ffea9b78463f1c8acf2177eb224c2fdd40f19293d071361510f2b1398125a0;24be318f46b99829ab989752ff17c0332349fdffacb80fcaa445e35978ab9451;ca2ee8f89704ed790113772f94dfbcc33a01b5ccbe906fd370cadff47da3bb39,label_aware_candidate_coverage,Compute main/subtype Rank-1 and Rank-2 coverage separately for all three routes,Coverage uses labels and is not a deployable score.,paper/figures_final/figure3_prototype_functional_value.svg
Figure 3,b,Top-2 coverage quantifies feeding/stress boundary candidate retention.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed3407/evaluation/test_predictions.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;5ed18c7f42b62940d866abd749c500bc0327e5afc355f4fd6c4c313a95100c77;6870dfd1224c66aa780b978aaefa409b7e2fd7c9b0410c84243d7bfcf7a23b01;edf190b8edf44b96382a3437df6c32d5ad851c41bf45db61b6ba3e416509a5d4;35e28a1e75128dc08afec26220b0c19c3164598c6d7998de680dd43bd46acc89;efb817c1a0701079fff35d77c81f642de8d3d7e0f89a27fd3b71a8142fb48377;1935922b2465e5f12a214232db290e4738620f2d50c0d121d4232785ebdf66f1;cc5f091ae8b3eb79509ac97cf3cd0abb0e905db648809c733225cafd43bb7c5d;9b2be2830eced1d774394f5ab8c573c38f9eccaa9a2159268470071a8eef99b1;3f2272b366c6198398203148776a5300115bbe04bd4356366be1330c28fb98c2;5c60b0c5f5b11578bd07b75d2a70386ab144e6096ad997a00ce3d4692994e9c1;4e9f39954f2a6f2791f1fa966f286d1b93a01bd51a61b3b16995108ae394ac3f;965e4b9f614afde5088fd12cadf797ba972d8c7cc6b522d92212ce8adeb38895;c9a215f332466ffd3ab0ef884286eae299a8bcaf526455eeeb25effcc6124657;ebb1dde761eda53a7a7dd48a3f5c1eb248e114dbe916df15f8bad5c29839229f;65e4550d1efa0bc2a6a5975320f3ed3e191a67450435eee0965a8f9e06f3eec0;f2bec3e706429054f50c3dfd9b8274bd79d8aa5746866d39cb35b986a9bca91d;4666342ba1e84cbe6d8ea5cf163a23eba18fdaf7d34ea2e6dcbcbfc0e1fa7bed;551eef82cb53af5a346060117cb418723e446d1c1128fc7a2fb509fe3c20b4dc;25410a83867675250ac7307cad1713448eabd07b27b89175def5564aa76221f6;cde101ee69714e1dbf21af94ed839b3b03392293893e022ef95e670d23a18b42;8b481820a28ed053d3daeda2a321e3978b94581ffe4fcdf27aace86a07862559;c3ffea9b78463f1c8acf2177eb224c2fdd40f19293d071361510f2b1398125a0;24be318f46b99829ab989752ff17c0332349fdffacb80fcaa445e35978ab9451;ca2ee8f89704ed790113772f94dfbcc33a01b5ccbe906fd370cadff47da3bb39,label_aware_boundary_candidate_coverage,Compute exact feeding/stress pair and true-class Top-2 coverage,Does not establish automatic boundary resolution.,paper/figures_final/figure3_prototype_functional_value.svg
Figure 3,c,Hierarchy inconsistency enriches some method-specific error subsets.,reports/prototype_cv5_exact_valsel_w10_fold0_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w10_fold0_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold1_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold2_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_valsel_w02_fold3_seed3407/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed42/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed123/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed777/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed2024/evaluation/test_predictions.csv;reports/prototype_cv5_exact_w05_fold4_seed3407/evaluation/test_predictions.csv,9152b6e3510df8a87518247ba97b32dd223155cb0d9fc50a48b27261679509ae;5ed18c7f42b62940d866abd749c500bc0327e5afc355f4fd6c4c313a95100c77;6870dfd1224c66aa780b978aaefa409b7e2fd7c9b0410c84243d7bfcf7a23b01;edf190b8edf44b96382a3437df6c32d5ad851c41bf45db61b6ba3e416509a5d4;35e28a1e75128dc08afec26220b0c19c3164598c6d7998de680dd43bd46acc89;efb817c1a0701079fff35d77c81f642de8d3d7e0f89a27fd3b71a8142fb48377;1935922b2465e5f12a214232db290e4738620f2d50c0d121d4232785ebdf66f1;cc5f091ae8b3eb79509ac97cf3cd0abb0e905db648809c733225cafd43bb7c5d;9b2be2830eced1d774394f5ab8c573c38f9eccaa9a2159268470071a8eef99b1;3f2272b366c6198398203148776a5300115bbe04bd4356366be1330c28fb98c2;5c60b0c5f5b11578bd07b75d2a70386ab144e6096ad997a00ce3d4692994e9c1;4e9f39954f2a6f2791f1fa966f286d1b93a01bd51a61b3b16995108ae394ac3f;965e4b9f614afde5088fd12cadf797ba972d8c7cc6b522d92212ce8adeb38895;c9a215f332466ffd3ab0ef884286eae299a8bcaf526455eeeb25effcc6124657;ebb1dde761eda53a7a7dd48a3f5c1eb248e114dbe916df15f8bad5c29839229f;65e4550d1efa0bc2a6a5975320f3ed3e191a67450435eee0965a8f9e06f3eec0;f2bec3e706429054f50c3dfd9b8274bd79d8aa5746866d39cb35b986a9bca91d;4666342ba1e84cbe6d8ea5cf163a23eba18fdaf7d34ea2e6dcbcbfc0e1fa7bed;551eef82cb53af5a346060117cb418723e446d1c1128fc7a2fb509fe3c20b4dc;25410a83867675250ac7307cad1713448eabd07b27b89175def5564aa76221f6;cde101ee69714e1dbf21af94ed839b3b03392293893e022ef95e670d23a18b42;8b481820a28ed053d3daeda2a321e3978b94581ffe4fcdf27aace86a07862559;c3ffea9b78463f1c8acf2177eb224c2fdd40f19293d071361510f2b1398125a0;24be318f46b99829ab989752ff17c0332349fdffacb80fcaa445e35978ab9451;ca2ee8f89704ed790113772f94dfbcc33a01b5ccbe906fd370cadff47da3bb39,deployable_flag_label_aware_evaluation,Recompute main-versus-mapped-subtype inconsistency separately for all three methods,Does not establish a safe automatic rejector.,paper/figures_final/figure3_prototype_functional_value.svg
