local_path_root,number_of_files,labels_or_subtypes,sample_rate_summary,duration_summary,md5_available,suspected_source_name,suspected_source_url,evidence_for_match,confidence,license,research_use_allowed,publication_allowed,redistribution_allowed,manifest_sharing_allowed,feature_sharing_allowed,derived_label_sharing_allowed,ethics_or_permission_notes,action_required_before_submission
"data/external/korea_raw/dry_cough","5440 files; 5437 unique MD5; 3 duplicate-file MD5 groups","cough / dry_cough; used in current cap3x manifests","44.1 kHz mono WAV PCM_16 for all readable files","seconds min=0.000; q1=0.400; median=0.468; q3=0.558; max=1.437; mean=0.479","Partial: current CV manifests include per-row md5 for used subset; full-source md5 manifest not found","Smart Farm Korea / data.go.kr Pig cough sound unstructured dataset (dry cough monthly ZIPs)","https://www.smartfarmkorea.net/unstructuredDataset/pigCoughSound.do?menuId=M11040204 ; https://www.data.go.kr/data/15117368/fileData.do","High local/web match: Edge history visited the SmartFarm pigCoughSound page; SmartFarm lists dry_202208.zip through dry_202304.zip and abdominal counterparts; source page describes pig cough WAV from six farms; local filenames use train_dry_*.wav; local folder is data/external/korea_raw/dry_cough; metadata is short mono 44.1 kHz WAV PCM16.","high","data.go.kr lists 이용허락범위 제한 없음 (no usage-permission restriction); SmartFarm terms still require final portal-specific redistribution check","yes, based on public-data listing with no usage restriction","yes, with formal citation to data.go.kr/SmartFarm Korea","likely yes under data.go.kr no-restriction listing; confirm SmartFarm/provider terms before redistributing raw audio","likely yes; paths/md5/source_id metadata should be sharable with citation","likely yes for extracted features; confirm derivative-data treatment under provider terms","likely yes; dry_cough is source subtype and cough is derived main label","No animal-ethics statement found on public source pages; describe as third-party public farm audio and ask journal/editor if an ethics-exemption statement is needed.","classification=A verified_public_reusable pending final terms sanity check; add source citation and Data Availability wording before submission"
"data/external/korea_raw/abdominal_cough","12397 files; 12377 unique MD5; 20 duplicate-file MD5 groups","cough / abdominal_cough; used in current cap3x manifests","44.1 kHz mono WAV PCM_16 for all readable files","seconds min=0.000; q1=0.366; median=0.419; q3=0.483; max=1.500; mean=0.426","Partial: current CV manifests include per-row md5 for used subset; full-source md5 manifest not found","Smart Farm Korea / data.go.kr Pig cough sound unstructured dataset (abdominal cough monthly ZIPs)","https://www.smartfarmkorea.net/unstructuredDataset/pigCoughSound.do?menuId=M11040204 ; https://www.data.go.kr/data/15117368/fileData.do","High local/web match: source page lists abdominal_202208.zip through abdominal_202304.zip; local filenames use train_abdominal_*.wav; local folder is data/external/korea_raw/abdominal_cough; same metadata family as dry cough; current manifests use subtype abdominal_cough.","high","data.go.kr lists 이용허락범위 제한 없음 (no usage-permission restriction); SmartFarm terms still require final portal-specific redistribution check","yes, based on public-data listing with no usage restriction","yes, with formal citation to data.go.kr/SmartFarm Korea","likely yes under data.go.kr no-restriction listing; confirm SmartFarm/provider terms before redistributing raw audio","likely yes; paths/md5/source_id metadata should be sharable with citation","likely yes for extracted features; confirm derivative-data treatment under provider terms","likely yes; abdominal_cough is source subtype and cough is derived main label","No animal-ethics statement found on public source pages; describe as third-party public farm audio and ask journal/editor if an ethics-exemption statement is needed.","classification=A verified_public_reusable pending final terms sanity check; add source citation and Data Availability wording before submission"
"data/raw/sow_call_dataset","1746 files; 1743 unique MD5; exact filename/content duplicate of data/raw/wu_pig_speech","source filename suffixes map to 0=calm_grunt, 1=feeding, 2=frightened_stress, 3=anxious_stress in local sow_labeled_index.csv","48 kHz mono WAV DOUBLE for all readable files","seconds min=1.988; q1=2.000; median=2.000; q3=2.015; max=2.512; mean=2.008","Partial: md5 available after labeled/dedup manifest construction; raw full-source md5 manifest not found","Sow call dataset (figshare)","https://figshare.com/articles/dataset/Sow_call_dataset/16940389 ; https://doi.org/10.6084/m9.figshare.16940389","High match: Edge download history records Dataset.zip / Dataset (1).zip from figshare file 31337746; local file names are numeric-class WAVs such as 0-0.wav and 1000-2.wav; metadata is 48 kHz mono DOUBLE, about 2 s.","high","CC BY 4.0 on figshare","yes with attribution","yes with citation and attribution","yes under CC BY 4.0 with attribution and license notice","yes with attribution; manifests do not redistribute audio","yes with attribution; treat features as derivative material where applicable","yes with attribution; local relabeling should be documented","No separate ethics statement found in figshare metadata during this audit; reuse as public third-party dataset should be described.","classification=A verified_public_reusable; add source citation and label-map description"
"data/raw/sow_call_dataset_labeled/calm_grunt","560 files; 280 unique MD5; includes __dup copies","calm_grunt; used in current cap3x manifests","48 kHz mono WAV DOUBLE for all readable files","seconds min=2.016; q1=2.016; median=2.016; q3=2.016; max=2.040; mean=2.022","Yes for used current-manifest rows; dedup removes __dup copies by md5/source_id","Derived labeled copy of Sow call dataset (figshare)","https://figshare.com/articles/dataset/Sow_call_dataset/16940389 ; https://doi.org/10.6084/m9.figshare.16940389","High match: sow_labeled_index.csv maps raw files ending -0.wav to calm_grunt and copies them into this folder; filenames and md5 correspond to the local raw Sow call dataset.","high","CC BY 4.0 inherited from Sow call dataset","yes with attribution","yes with citation and attribution","yes under CC BY 4.0 with attribution and license notice","yes with attribution; manifests include md5/source_id/path metadata only","yes with attribution","yes with attribution and explicit local label-map disclosure","No separate ethics statement found; cite original public dataset and state local labels derive from original filename class suffixes.","classification=A verified_public_reusable; cite figshare dataset and document 0->calm_grunt mapping"
"data/raw/sow_call_dataset_labeled/feeding","420 files; 210 unique MD5; includes __dup copies","feeding; used in current cap3x manifests","48 kHz mono WAV DOUBLE for all readable files","seconds min=1.988; q1=2.000; median=2.000; q3=2.000; max=2.329; mean=2.009","Yes for used current-manifest rows; dedup removes __dup copies by md5/source_id","Derived labeled copy of Sow call dataset (figshare)","https://figshare.com/articles/dataset/Sow_call_dataset/16940389 ; https://doi.org/10.6084/m9.figshare.16940389","High match: sow_labeled_index.csv maps raw files ending -1.wav to feeding and copies them into this folder; filenames and md5 correspond to the local raw Sow call dataset.","high","CC BY 4.0 inherited from Sow call dataset","yes with attribution","yes with citation and attribution","yes under CC BY 4.0 with attribution and license notice","yes with attribution; manifests include md5/source_id/path metadata only","yes with attribution","yes with attribution and explicit local label-map disclosure","No separate ethics statement found; cite original public dataset and state local labels derive from original filename class suffixes.","classification=A verified_public_reusable; cite figshare dataset and document 1->feeding mapping"
"data/raw/sow_call_dataset_labeled/frightened_stress","1500 files; 749 unique MD5; includes __dup copies and internal duplicate MD5 groups","frightened_stress mapped into main class stress_vocal; used in current cap3x manifests","48 kHz mono WAV DOUBLE for all readable files","seconds min=1.988; q1=2.000; median=2.000; q3=2.000; max=2.512; mean=2.006","Yes for used current-manifest rows; dedup removes __dup copies by md5/source_id","Derived labeled copy of Sow call dataset (figshare)","https://figshare.com/articles/dataset/Sow_call_dataset/16940389 ; https://doi.org/10.6084/m9.figshare.16940389","High match: sow_labeled_index.csv maps raw files ending -2.wav to frightened_stress and copies them into this folder; filenames and md5 correspond to the local raw Sow call dataset.","high","CC BY 4.0 inherited from Sow call dataset","yes with attribution","yes with citation and attribution","yes under CC BY 4.0 with attribution and license notice","yes with attribution; manifests include md5/source_id/path metadata only","yes with attribution","yes with attribution and explicit local label-map disclosure","No separate ethics statement found; cite original public dataset and state local labels derive from original filename class suffixes.","classification=A verified_public_reusable; cite figshare dataset and document 2->frightened_stress mapping"
"data/raw/sow_call_dataset_labeled/anxious_stress","1012 files; 504 unique MD5; includes __dup copies and internal duplicate MD5 groups","anxious_stress mapped into main class stress_vocal; used in current cap3x manifests","48 kHz mono WAV DOUBLE for all readable files","seconds min=1.991; q1=2.000; median=2.000; q3=2.000; max=2.144; mean=2.004","Yes for used current-manifest rows; dedup removes __dup copies by md5/source_id","Derived labeled copy of Sow call dataset (figshare)","https://figshare.com/articles/dataset/Sow_call_dataset/16940389 ; https://doi.org/10.6084/m9.figshare.16940389","High match: sow_labeled_index.csv maps raw files ending -3.wav to anxious_stress and copies them into this folder; filenames and md5 correspond to the local raw Sow call dataset.","high","CC BY 4.0 inherited from Sow call dataset","yes with attribution","yes with citation and attribution","yes under CC BY 4.0 with attribution and license notice","yes with attribution; manifests include md5/source_id/path metadata only","yes with attribution","yes with attribution and explicit local label-map disclosure","No separate ethics statement found; cite original public dataset and state local labels derive from original filename class suffixes.","classification=A verified_public_reusable; cite figshare dataset and document 3->anxious_stress mapping"
"data/raw/wu_pig_speech","1746 files; 1743 unique MD5; exact same 1746 filenames and contents as data/raw/sow_call_dataset","duplicate copy of Sow call numeric-class WAVs; not used in current cap3x manifests","48 kHz mono WAV DOUBLE for all readable files","seconds min=1.988; q1=2.000; median=2.000; q3=2.015; max=2.512; mean=2.008","No standalone full-source md5 manifest; exact duplicate relationship locally verified","Duplicate local copy of Sow call dataset (figshare)","https://figshare.com/articles/dataset/Sow_call_dataset/16940389 ; https://doi.org/10.6084/m9.figshare.16940389","High match: exact filename and MD5 equality with data/raw/sow_call_dataset for all 1746 files; Edge download evidence points to figshare Sow call Dataset.zip.","high","CC BY 4.0 inherited from Sow call dataset","yes with attribution","yes with citation and attribution if used","yes under CC BY 4.0 with attribution and license notice","yes with attribution if referenced","yes with attribution","yes with attribution and label-map disclosure","Do not treat this as an independent source; it is a local duplicate of Sow call.","classification=A verified_public_reusable; exclude or document as duplicate, not a separate dataset"
"data/raw/soundwel","6887 WAV files; raw SoundWel audio plus spectrogram PNG sidecars present","SoundWel pig vocalizations; local external_pig_other candidates/reviewed files derive from this source; not used in current cap3x manifests","44.1 kHz mono WAV PCM_16 for all readable WAV files","seconds min=0.043; q1=0.181; median=0.277; q3=0.428; max=3.595; mean=0.352","No full-source md5 manifest found in this audit","The Soundwel Database: a labeled pig vocalization repository (Zenodo)","https://zenodo.org/records/8252482 ; https://doi.org/10.5281/zenodo.8252482","High match: Edge download history shows Soundwel Dataset - Audio and Spectrograms.zip and SoundwelDatasetKey.xlsx from Zenodo 8252482; local filenames include ETHZ/NMBU/IASP prefixes and spectrogram sidecars.","high","CC BY 4.0 on Zenodo record","yes with attribution","yes with citation and attribution if used","yes under CC BY 4.0 with attribution and license notice","yes with attribution","yes with attribution","yes with attribution; local review labels should be documented","No new ethics approval needed for reuse, but cite original SoundWel source; do not mix reviewed labels into final clean mainline unless explicitly justified.","classification=A verified_public_reusable; if referenced, cite Zenodo DOI and note not part of current final clean mainline"
"data/processed/soundwel; data/external_pig_other_reviewed","processed/soundwel: 478 WAV; external_pig_other_reviewed: 300 WAV copied/reviewed from SoundWel","derived local SoundWel other/grunt/hard-other review sets; not used in current cap3x manifests","processed/soundwel: 16 kHz mono PCM_16; reviewed: 44.1 kHz mono PCM_16","processed/soundwel exactly 2.000 s; reviewed seconds min=0.130; q1=0.204; median=0.292; q3=0.468; max=1.074; mean=0.353","No full derived-source md5 manifest found; review_index.csv records source and copied paths for review queue","Derived from The Soundwel Database (Zenodo)","https://zenodo.org/records/8252482 ; https://doi.org/10.5281/zenodo.8252482","High match: review_index.csv source column is soundwel and contains original data/raw/soundwel paths; reviewed filenames include rank*_pNA_soundwel_*; processed/soundwel filenames are SoundWel-style prefixes.","high","CC BY 4.0 inherited from SoundWel","yes with attribution","yes with citation if used","yes under CC BY 4.0 with attribution and license notice","yes with attribution","yes with attribution","yes with attribution; local review-label ownership should be documented","Not part of current final clean mainline; if used later, document manual review protocol and label ownership.","classification=A verified_public_reusable; cite SoundWel and document local review-label provenance if used"
