figure,panel,supported_claim,evidence_file,claim_strength,prohibited_claim
Figure 1,a,The evaluated mainline computationally reuses public/third-party pig audio and applies 2 s Log-Mel input with a CRNN shared embedding.,paper/tables/table1_dataset_and_leakage_free_protocol.csv; paper/manuscript/paper_en_full_story_polished.md,protocol,Do not claim a novel audio acquisition pipeline.
Figure 1,b,Four main classes and six auxiliary subtypes provide hierarchical supervision.,paper/tables/table1_dataset_and_leakage_free_protocol.csv; tools/prototype_model_adapter.py,protocol,Do not invent an automatic routing mechanism.
Figure 1,c,Main and subtype prototypes are train-only artifacts with validation-only calibration.,paper/tables/table1_dataset_and_leakage_free_protocol.csv,strong boundary,Do not imply test-set prototype construction or calibration.
Figure 1,d,DEMAND testing is simulated additive-noise evaluation.,paper/tables/table1_dataset_and_leakage_free_protocol.csv,strong boundary,Do not call this real-farm external validation.
Figure 2,a,The available 2 s mean exceeds the 1 s and 3 s means.,paper/tables/table3_duration_comparison.csv,descriptive,Do not claim 3 s is significantly worse than 2 s.
Figure 2,b,Matched 2 s input improves clean Macro-F1 over 1 s input.,paper_results/tables/cv5_cap3x_logmel_dur2_vs_dur1_paired_stats.csv,run-level statistical,Do not generalize 2 s as universally optimal.
Figure 2,c,Locked complex clean variants did not replace the 2 s Log-Mel mainline.,paper/tables/table2_clean_baseline_and_architecture_ablations.csv,descriptive unmatched,Do not present unmatched n=15 versus n=25 rows as paired tests.
Figure 3,a,Auxiliary labels refine cough and stress categories while calm-grunt and feeding map one-to-one.,paper/tables/table1_dataset_and_leakage_free_protocol.csv; tools/prototype_model_adapter.py,protocol,Do not infer unmeasured biological hierarchy.
Figure 3,b,Lambda=1.0 has the highest mean and lambda=0.5 the lowest SD.,paper/tables/table4_hierarchical_aux_weight_ablation.csv,descriptive bounded,Do not claim a significant incremental clean gain.
Figure 3,c,"Within the same lambda=0.5 fold-seed checkpoint cohort, clean hierarchical prototypes have the highest mean among the three displayed inference modes.",paper/tables/table5_clean_softmax_main_prototype_hierarchical_prototype.csv; paper/appendix/clean_25_run_prototype_paired_stats.csv; reports/prototype_noise_demand_w05_final/final_runs.csv,descriptive bounded,Do not call the clean gain statistically significant or compare raw Softmax here with the non-hierarchical 2 s baseline.
Figure 4,a,Main prototypes have the highest mean in all three grouped simulated-noise strata.,paper/tables/table6_simulated_noise_robustness_by_stratum.csv,descriptive,Do not claim a large or universal robustness gain.
Figure 4,b,Performance degrades toward 0 dB and depends on DEMAND environment.,paper/appendix/noise_25_run_summary.csv,descriptive,Do not describe 0 dB as no noise.
Figure 4,c,Moderate-noise support is strongest; fold clustering weakens some run-level inferences.,paper/appendix/noise_25_run_paired_stats.csv; paper/appendix/noise_25_run_cluster_bootstrap.csv,sensitivity-aware,Do not report run-level significance without the fold-cluster caveat or claim hierarchical prototypes are most robust.
Figure 5,a,Cough recall collapses under severe simulated noise.,paper/appendix/noise_25_run_per_class_summary.csv,strong descriptive,Do not claim reliable cough recognition at 0 dB.
Figure 5,b,Feeding-to-stress and stress-to-feeding errors remain method-dependent failure directions.,paper/tables/table8_per_class_noise_results_and_confusion_directions.csv,descriptive pooled,Do not treat pooled decisions as independent events or infer a causal noise mechanism.
Figure 5,c,Raw Softmax ranks best on AURC/AUGRC while main prototypes show only small fixed-operating-point risk advantages.,paper/appendix/noise_25_run_aurc_augrc_summary.csv; paper/appendix/noise_25_run_selective_summary.csv,descriptive bounded,Do not claim universal uncertainty improvement.
Supplementary Figure S1,a,The complete locked clean ablation table retains the 2 s Log-Mel mean as the strongest listed mainline.,paper/tables/table2_clean_baseline_and_architecture_ablations.csv,descriptive unmatched,Do not add archived-only BiLSTM or other unlocked values.
Supplementary Figure S2,a,Raw Softmax varies by DEMAND environment and SNR.,paper/appendix/noise_25_run_summary.csv,descriptive,Do not generalize simulated noise to farm deployment.
Supplementary Figure S2,b,Main-prototype performance varies by DEMAND environment and SNR.,paper/appendix/noise_25_run_summary.csv,descriptive,Do not claim every environment/SNR comparison is significant.
Supplementary Figure S2,c,Hierarchical-prototype performance varies by DEMAND environment and SNR.,paper/appendix/noise_25_run_summary.csv,descriptive,Do not claim hierarchical prototypes dominate under noise.
Supplementary Figure S2,d,Fused inference is retained as a supplementary ablation.,paper/appendix/noise_25_run_summary.csv,descriptive ablation,Do not present fused inference as the main contribution.
Supplementary Figure S3,a,Complete pooled confusion matrices expose class-specific failure structure.,reports/prototype_noise_demand_w05_final/final_confusion_summary.csv,descriptive pooled,Do not treat pooled seed decisions as independent recordings.
Supplementary Figure S3,b,Validation-selected calibration settings vary across fold-seed runs.,paper/appendix/clean_calibration_distribution.csv,descriptive validation-only,Do not imply test-set calibration.
Supplementary Figure S3,c,Frozen rejection thresholds vary by class across fold-seed runs.,paper/appendix/clean_calibration_distribution.csv,descriptive validation-only,Do not claim universal calibration improvement.
Supplementary Figure S3,d,Fold-level deltas reveal heterogeneity hidden by run-level averaging.,paper/appendix/noise_25_run_fold_level_deltas.csv,sensitivity display,Do not mix fold-level points with 25 run-level replicates.
