"paper","year","score_context","reported_metric","reported_value","same_dataset","same_labels","same_split","same_metric","same_sample_unit","same_clean_noise_condition","same_class_balance","comparability","exceeds_B2_0.951050","exceeds_B3_0.953986","valid_comparison_statement","citation_verified","source_url"
"Combined spectral and speech features for pig speech recognition","2022","headline four-state classifier","accuracy","0.9339","partially; same named Sow source but published 4000-item corpus is not locally recoverable","partially; four contextual labels differ from our cough/calm/feeding/stress main task","no; exact membership and grouping not reported","no","partially; 2 s clip classification","unverified","published balanced; current task differs","partially_comparable","no","no","A same-source four-state paper reports 93.39% accuracy under an incompletely specified split; it is not a matched Macro-F1 comparison.","yes","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0276778"
"Combined spectral and speech features for pig speech recognition","2022","separate confusion-matrix test visualization","accuracy","0.9452","partially","partially","no","no","partially; 2 s clip classification","unverified","published balanced; current task differs","partially_comparable","no","no","The publisher text also describes a 94.52% test-model visualization; its relation to the 93.39% headline result is not sufficiently specified for ranking.","yes","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0276778"
"Combined spectral and speech features for pig speech recognition","2022","selected fusion model","AUC","0.99163","partially","partially","no","no","partially; clip scores","unverified","published balanced; current task differs","partially_comparable","yes","yes","The AUC is numerically larger than our Macro-F1 but measures a different quantity and cannot support a superiority statement.","yes","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0276778"
"Domestic pig sound classification based on TransformerCNN","2023","TransformCNN four-state classifier","accuracy","0.9605","partially; same named source but local corpus has 1746 rather than 4000 files","partially; exact four published labels, not our current main label set","no; published filename assignment and seed unavailable","no","partially; 2 s clip classification","unverified","yes in publication; no in local corpus","partially_comparable","yes","yes","96.05% accuracy is a numerical reference only until the exact 4000 clips, 3200/800 membership, and metric protocol are reproduced.","yes","https://link.springer.com/article/10.1007/s10489-022-03581-6"
"Domestic pig sound classification based on TransformerCNN","2023","TransformCNN four-state classifier","AUC","0.9837","partially","partially","no","no","partially","unverified","published balanced; local corpus imbalanced","partially_comparable","yes","yes","The AUC is not directly comparable with Macro-F1.","yes","https://link.springer.com/article/10.1007/s10489-022-03581-6"
"Domestic pig sound classification based on TransformerCNN","2023","TransformCNN four-state classifier","recall","0.9052","partially","partially","no","no","partially","unverified","published balanced; local corpus imbalanced","partially_comparable","no","no","Recall is reported for context and is not a matched aggregate comparison.","yes","https://link.springer.com/article/10.1007/s10489-022-03581-6"
"Domestic pig sound classification based on TransformerCNN","2023","TransformCNN four-state classifier","precision","0.9080","partially","partially","no","no","partially","unverified","published balanced; local corpus imbalanced","partially_comparable","no","no","Precision is reported for context and is not a matched aggregate comparison.","yes","https://link.springer.com/article/10.1007/s10489-022-03581-6"
"Domestic pig sound classification based on TransformerCNN","2023","TransformCNN aggregate","F1 (averaging not established as our Macro-F1)","0.9047","partially","partially","no","no; averaging is not aligned","partially","unverified","published balanced; local corpus imbalanced","partially_comparable","no","no","The reported F1 cannot be treated as our fold-seed Macro-F1 without an aligned definition and split.","yes","https://link.springer.com/article/10.1007/s10489-022-03581-6"
"Domestic pig sound classification based on TransformerCNN","2023","MLMC feature table","F1 (averaging not established as our Macro-F1)","0.9064","partially","partially","no","no; averaging is not aligned","partially","unverified","published balanced; local corpus imbalanced","partially_comparable","no","no","The MLMC-table F1 is contextual and not a matched result.","yes","https://link.springer.com/article/10.1007/s10489-022-03581-6"
"Classification of pig calls produced from birth to slaughter according to their emotional valence and context of production","2022","CNN valence","accuracy","0.915","no","no","no","no","no; variable call classification","different multi-laboratory low-noise selection","no","contextual_only","no","no","This supports the feasibility of pig-valence classification only; it is not a score comparison.","yes","https://www.nature.com/articles/s41598-022-07174-8"
"Classification of pig calls produced from birth to slaughter according to their emotional valence and context of production","2022","CNN production context","accuracy","0.815","no","no","no","no","no; variable call classification","different multi-laboratory low-noise selection","no","contextual_only","no","no","This is a 19-context validation accuracy on a different corpus.","yes","https://www.nature.com/articles/s41598-022-07174-8"
