data_source,scope,local_evidence,access_route,formal_identifier,license_status,redistribution_status,publication_status,sha_or_md5_provenance,ethics_or_permission_status,submission_action
clean_pig_vocalization_audio,"Raw clean pig vocalization WAV files used for closed-set training, validation, and testing","Manifest paths under data/raw/sow_call_dataset_labeled and data/external/korea_raw appear in data/manifests_pigvocal_4class_expanded_train_cv5_cap3x/fold*/{train,val,test}.csv","third-party restricted or controlled access route unresolved","UNRESOLVED","UNRESOLVED","Do not redistribute until owner, license, and permission are confirmed","supports central clean and simulated-noise claims","Per-sample md5 recorded in CV manifests","UNRESOLVED animal ethics, owner permission, and reuse permission","Confirm DOI/URL/license/owner/ethics; define public, controlled, or restricted access route"
auxiliary_subtype_labels,"Six subtype labels used for hierarchical auxiliary supervision","subtype column in data/manifests_pigvocal_4class_expanded_train_cv5_cap3x/fold*/{train,val,test}.csv","metadata in repository or controlled metadata release, subject to raw-audio permissions","UNRESOLVED","UNRESOLVED","May be redistributable as metadata only after data-owner permission is confirmed","supports hierarchical supervision and subtype prototype analysis","Linked to source_id and md5 fields in manifests","UNRESOLVED permission to redistribute derived labels","Confirm label ownership and metadata license; include label dictionary in archive"
cv_manifests_cap3x,"Five-fold cap3x train/val/test manifests with label, subtype, source_id, and md5","data/manifests_pigvocal_4class_expanded_train_cv5_cap3x/fold0-4/train.csv,val.csv,test.csv","public repository for metadata if raw-audio restrictions allow; otherwise controlled metadata route","UNRESOLVED archive DOI","UNRESOLVED metadata license","Do not treat manifests as raw audio; paths may reveal local source names","needed to reproduce fold assignments and leakage checks","path/source_id/md5 columns; 1174 train, 120 val, 168 test rows per fold in reviewed local manifests","depends on clean-audio permission terms","Archive with README and hashes after permission review"
model_checkpoints,"Fold-seed trained model checkpoints for clean CRNN and hierarchical CRNN runs","Reviewed final training directories expose summary.json and test_pred.csv; no final public checkpoint archive was identified","code-regeneration route or public artifact repository","UNRESOLVED archive DOI","UNRESOLVED artifact license","Not currently released as a paper artifact","would support exact rerun without retraining if archived","checkpoint SHA provenance is referenced in protocol but final archive is unresolved","not directly ethical, but derived from restricted audio","Decide whether to archive checkpoints with fold/seed/config/SHA or rely on code-based regeneration"
prototype_artifacts,"Train-derived main and auxiliary prototype NPZ bundles and calibration/evaluation metadata","reports/prototype_cv5_exact_w05_fold*/artifacts/main_prototypes.npz, aux_prototypes.npz, prototype_bundle.npz and associated metadata","public artifact repository if allowed; otherwise regenerate from released code and permitted data","UNRESOLVED archive DOI","UNRESOLVED artifact license","Do not release without documenting derivation from train-only embeddings","supports prototype inference and clean/noise comparisons","artifact metadata, leakage_audit.json, train sample CSVs, validation calibration, and test evaluation files exist locally","derived from clean audio; release depends on data rights","Archive with checksums and README or document regeneration route"
demand_noise_audio,"Public environmental noise recordings used for simulated additive-noise evaluation","data/noise_sources/demand/PROVENANCE.json and NOISE_SOURCE_MANIFEST.csv record DWASHING, TBUS, STRAFFIC channel 1","reused public source","DOI 10.5281/zenodo.1227121; https://zenodo.org/records/1227121","conflicting metadata: description_license=CC-BY-SA-3.0; zenodo_rights_license=cc-by-4.0","Do not redistribute DEMAND audio in GitHub; cite DOI and use checksums","supports simulated additive-noise robustness only","Archive MD5 and SHA256 recorded; per-noise-file MD5/SHA256 recorded","public environmental audio; no animal ethics issue for DEMAND itself","Cite DEMAND formally; keep audio external; explain license conflict"
demand_noise_metadata,"Local DEMAND provenance, selected environments, channel policy, and checksums","data/noise_sources/demand/PROVENANCE.json; data/noise_sources/demand/NOISE_SOURCE_MANIFEST.csv; docs/NOISE_SOURCE_DECISION.md","within repository or supplementary source data","DEMAND DOI 10.5281/zenodo.1227121 plus local metadata paths","metadata can be shared if it does not redistribute audio; upstream license conflict noted","Share metadata and checksums, not audio","supports reproducible simulated-noise construction","noise_source_manifest_sha256=d7da9b7ff7fd07f8859bf86d607b6a295c3d7b5df4ac433057e0086dc985afc6","not applicable beyond DEMAND citation terms","Include in source-data archive and cite upstream record"
generated_tables,"Nine manuscript table CSV files","paper/tables/table1_dataset_and_leakage_free_protocol.csv through table9_selective_prediction_metrics_corrected_augrc.csv","within repository or public source-data archive","UNRESOLVED archive DOI","UNRESOLVED repository/source-data license","Can be redistributed as processed aggregate results if clean-data restrictions allow aggregate sharing","direct source data for manuscript tables","Git tracked in current package; values derived from locked reports","aggregate results; no direct animal ethics identifier if audio is not included","Archive as source data with README and table mapping"
generated_appendix_csv,"Clean and simulated-noise appendix CSV summaries and audits","paper/appendix/*.csv including noise_25_run_cross_seed_draw_audit.csv","within repository or public source-data archive","UNRESOLVED archive DOI","UNRESOLVED repository/source-data license","Can be redistributed as processed aggregate and audit results if clean-data restrictions allow aggregate sharing","supports appendix, statistics, calibration, and audit claims","noise_25_run_provenance.json records final_25_run_result=true and cross_seed_noise_draw_audit_ok=true","aggregate results; no raw audio included","Archive with tables and source-data README"
generated_figures,"SVG/PDF/PNG manuscript figures and figure source mapping","paper/figures/* and paper/figures/figure_data_sources.csv/json; paper/figures_v2/* also exists locally","within repository or public figure/source-data archive","UNRESOLVED archive DOI","UNRESOLVED repository/source-data license","Can be redistributed as manuscript figures if source-data and code permissions are resolved","visualizes reported tables and appendix summaries","figure_data_sources maps each figure to source CSV/script","not applicable beyond data and code permissions","Archive final selected figure set and source mapping"
