"paper","year","species","dataset","task_labels","n_classes","input_duration","feature","backbone","hierarchical_labels","auxiliary_supervision","prototype_inference","post_hoc_prototype","top_k_candidates","representative_sample_retrieval","open_set_or_few_shot","evaluation_split","reported_metric","reported_value","overlap_with_our_work","key_difference","directly_comparable","citation_verified"
"Combined spectral and speech features for pig speech recognition","2022","domestic pig (sows)","Sow Call dataset; paper reports 4000 clips","normal/calm; feeding; frightened/howling; anxious/hunger","4","2 s","MFCC; Log-Mel; chroma; spectral contrast; tonnetz; MC/LMC/MLMC","EfficientNetB1 spectrogram branch plus RNN/LSTM/GRU branch and LR/SVM classifier","no","no","no","no","no","no","no","test result reported; exact membership, seed, animal/session grouping, and source disjointness not reported","accuracy; AUC","headline accuracy=0.9339; separate confusion-matrix test visualization=0.9452; AUC=0.99163","pig-specific fixed 2 s input and overlapping calm/feeding/frightened/anxious states","no shared main/subtype supervision; no prototypes; split provenance and F1 averaging do not match ours","no","yes; PLOS publisher and DOI 10.1371/journal.pone.0276778"
"Domestic pig sound classification based on TransformerCNN","2023 (online 2022)","domestic pig","Sow Call dataset; paper reports 4000 clips","calm; feeding; frightened; anxious","4","2 s","MFCC; Log-Mel; chroma; spectral contrast; tonnetz; MC/LMC/MLMC; selected MLMC 145x55","parallel two-layer five-head Transformer encoder and four-layer CNN","no","no","no","no","no","no","no","single clip-level 80/20 split: 800 train and 200 test per class; no animal/session grouping reported","accuracy; AUC; recall; precision; F1","accuracy=0.9605; AUC=0.9837; recall=0.9052; precision=0.9080; F1=0.9047; MLMC-table F1=0.9064","same named public source, fixed duration, and four behavioral labels targeted by a possible replication benchmark","local corpus and exact split are not recoverable; no hierarchy/prototypes; metric and split differ","no","yes; Springer publisher and DOI 10.1007/s10489-022-03581-6"
"Classification of pig calls produced from birth to slaughter according to their emotional valence and context of production","2022","domestic pig","7414 low-noise modeled calls from 411 pigs and 19 contexts, drawn from a larger multi-laboratory collection","positive/negative valence; production context","2 valence; 19 context","variable calls; CNN spectrograms zero-padded to 3.595 s","handcrafted acoustic variables for pDFA; 3 ms-window spectrogram for CNN","pDFA and transfer-learned ResNet-50","no; LF/HF preprocessing is not a supervised label hierarchy","no","no","no","no","no","no","random call-level 70/30 train/validation repeated 10 times; no independent source-disjoint test","accuracy","CNN valence=0.915±0.003; CNN context=0.815±0.003","pig affect/context recognition","different corpus, labels, duration, sample unit, split, and metric","no","yes; Scientific Reports publisher and DOI 10.1038/s41598-022-07174-8"
"A multi-stage ensemble framework for classifying pig vocalizations under noisy animal farm environments (PVMC)","2025","domestic pig","four datasets; final contextual set contains 1650 imbalanced clips described as sourced from Liao","vocal/non-vocal; cough/scream/contextual; calm/feeding/frightened/anxious","2 then 3 then 4","0.2 s segmentation; 1 s coarse stages; 1.9-2.5 s final contextual clips","mel/linear spectrogram and MFCC; Log-Mel; raw waveform","SEGAN+; compact CNN; SqueezeNet; AST plus Wav2Vec2 soft voting","modular coarse-to-fine stages","no shared auxiliary loss","no","no","no","no","no","6:2:2 train/validation/test; no animal/session/source grouping reported","accuracy; F1; recall; precision","segmentation accuracy=0.9580; coarse accuracy=0.9888; final ensemble F1=0.9201, recall=0.9215, precision=0.9213; abstract calls 0.9215 accuracy","closest pig-specific coarse-to-fine class topology and noisy-farm motivation","separately trained pipeline stages, different subsets and sample units, no shared representation or prototypes","no","yes; Scientific Reports publisher and DOI 10.1038/s41598-025-17205-9"
"HiSSNet: Sound Event Detection and Speaker Identification via Hierarchical Prototypical Networks for Low-Resource Headphones","2023","general sound and human speech","seven datasets; about 211600 files and 673.4 h","7 top-level; 19 middle-level; 1319 bottom-level SED/SID classes","7/19/1319 across three levels","random 1 s segments","64-bin Log-Mel; 32 ms window; 10 ms hop","MobileNetV2","yes; three explicit levels","yes; weighted sum of hierarchy-level losses","yes; support means and meta-prototypes with distance inference","no; prototypes are integral to episodic end-to-end training","hierarchy-level candidate sets, but no reported ranked top-k class output","no","few-shot episodic; paper recommends future open-set handling but does not evaluate rejection","random stratified 10 folds: 9 for cross-validation training and 1 post-training evaluation fold; all evaluation classes seen","per-segment accuracy; hierarchical mistake; EER","CV alpha=1 SED L1/L2/L3=0.935/0.931/0.913; SID L2/L3=0.967/0.889; evaluation SED L1/L3=0.941/0.917","closest precedent for joint hierarchy-level supervision plus prototype inference","non-pig 1 s SEID; episodic/end-to-end prototypes; no post-hoc train-only prototype layer or retrieval","no","yes; official arXiv 2303.07538 and IEEE DOI 10.1109/ICASSP49357.2023.10094788"
"AudioProtoPNet: An interpretable deep learning model for bird sound classification","2025","birds","BirdSet XCL training: 9734 species and over 6800 h; POW validation; seven geographic test sets","multi-label bird species","9734 training species","5 s","256-bin Log-Mel at 32 kHz","ConvNeXt-B plus prototype classifier","no","no","yes; learned class-specific spectrogram-patch prototypes","yes in the relevant sense: a conventional backbone is trained first, then frozen while the prototype head is fitted","no ranked class top-k; K=5 refers to retrieved training examples","yes; top-K similar training instances and spectrogram patches per prototype","no","XCL train, POW validation, seven separate geographic test sets; five seeds; validation-loss checkpoint selection","AUROC; cmAP; top-1 accuracy","seven-test mean AUROC=0.90; cmAP=0.42; top-1=0.62; SSW AUROC=0.97","strongest precedent for frozen-representation prototype inference and training-example retrieval","bird multi-label task; flat prototypes; no main/subtype hierarchy or auxiliary supervision","no","yes; ScienceDirect publisher DOI 10.1016/j.ecoinf.2025.103081 and official arXiv 2404.10420"
"Prototypical Networks for Few-shot Learning","2017","image benchmarks","Omniglot; miniImageNet; CUB zero-shot extension","episodic unseen-class image classification","N-way episodes","not applicable (images)","learned image embeddings","four-block CNN","no","no","yes; class mean of support embeddings and softmax over distances","no; prototypes are formed inside episodic training/evaluation","N-way candidate set, but no separate reported top-k output","no","few-shot unseen-class meta-testing and zero-shot extension; not open-set rejection","miniImageNet 64 train, 16 validation, 20 test classes; 600 test episodes","accuracy","miniImageNet 1-shot=0.4942±0.0078 and 5-shot=0.6820±0.0066; Omniglot configurations=0.960-0.997","foundational class-mean prototype and distance-inference formulation","non-audio image task; episodic unseen classes; no hierarchy, post-hoc frozen inference, or retrieval","no","yes; NeurIPS proceedings and official arXiv 1703.05175"
"Few-shot bioacoustic event detection at the DCASE 2022 challenge","2022","multiple bird and mammal species","predefined DCASE development and held-out evaluation datasets from multiple recording projects","detect later onsets/offsets after first five positive target events","dataset-dependent target class per recording","variable event duration","challenge systems used spectrogram, Log-Mel, PCEN, and learned embeddings","overview; baselines include template matching and adaptive-segment ResNet ProtoNet","no","no","yes for ProtoNet baseline and many submissions","no","few-shot target candidate, but no ranked top-k class output","no","yes; five-shot event detection; not open-set rejection","predefined development-training/development-validation/evaluation datasets","event-level macro F-measure with 30% IoU and bipartite matching","best evaluation=0.6022; ProtoNet baseline evaluation=0.0530 and validation=0.2845; template baseline evaluation=0.1235","bioacoustic prototype and candidate-inference precedent","event detection, variable events, different species/data, and incompatible metric/sample unit","no","yes; official DCASE 2022 proceedings and official arXiv 2207.07911"
"A Conformer-Based Time-Frequency Decoupling Network for Pig Vocalization Behavior Classification","2026","domestic pig","commercial-farm five-class dataset with grouped cross-validation and an independent test","cough; scream; estrus; feeding; normal","5","not matched to our fixed 2 s protocol","Log-Mel with spectral gating and time-frequency attention","time-frequency-decoupled Conformer with masked temporal pooling and AAM-Softmax","no","no","no","no","no","no","no","grouped 5-fold cross-validation plus independent test","accuracy","grouped CV=0.9734±0.0042; independent test=0.9738","recent pig classification under grouped evaluation","different private data, five-label taxonomy, metric, and architecture; no subtype hierarchy or prototypes","no","yes; Animals publisher DOI 10.3390/ani16091337"
"Improving pig audio signal recognition via integrated underdetermined blind source separation and deep learning","2025","domestic pig","simulated group-housing mixtures","four pig vocalization sources; eating/howling/humming outputs described","4 stated","not reported as a matched 2 s clip protocol","blind source separation followed by spectrograms","ECA-EfficientNetV2","no; hierarchical clustering is a source-separation operation, not hierarchical labels","no","no","no","no","no","no","study-specific split not aligned to ours","accuracy","0.9835","pig sound classification and noisy/group-housing motivation","source separation plus different labels/data/conditions; no auxiliary hierarchy or prototype inference","no","yes; ScienceDirect publisher DOI 10.1016/j.compag.2025.110511"
"Robustness of CNN-Based model assessment for pig vocalization classification across diverse acoustic environments","2026","domestic pig","three commercial-farm datasets, each 4000 clips","non-vocal; cough; scream; normal","4","3 s","Mixed-MMCT/spectrogram features","three-block CNN plus fully connected layers","no","no","no","no","no","no","no","10-fold within-farm evaluation and train-on-two/test-on-one unseen-farm evaluation","accuracy; precision; recall; F1","within-farm accuracy=0.9768/0.9918/0.9745; unseen-farm mean precision=0.9196, recall=0.9136, F1=0.9166, accuracy=0.9132","pig classification and explicit cross-farm generalization check","different private datasets, labels, 3 s clips, and metric; no hierarchy or prototypes","no","yes; ScienceDirect publisher DOI 10.1016/j.compag.2025.111181"
"Hierarchical Acoustic Encoding Distress in Pigs: Disentangling Individual, Developmental, and Emotional Effects with Subject-Wise Validation","2026","domestic pig","2221 vocal samples from 40 pigs across growth phases and distress conditions","pain; hunger; thirst; cold stress; heat stress; normal","6","variable calls","Praat acoustic measures: energy, duration, intensity, pitch, formants","Random Forest plus mixed-model variance analysis","no neural label hierarchy; hierarchical refers to biological variance structure","no","no","no","no","no","no","5-fold grouped by animal","balanced accuracy; Macro-F1","balanced accuracy=0.609; Macro-F1=0.597","pig distress classification and rigorous subject-wise grouping","handcrafted-feature six-condition task; no shared neural auxiliary supervision or prototypes","no","yes; Animals publisher DOI 10.3390/ani16081148"
